ProductID,ProductName,ProductBrand,Gender,Price (INR),Description,PrimaryColor,ImageURL
10004129,HIGHLANDER Men Grey Slim Fit Self Design Regular Trousers,HIGHLANDER,Men,1299,"Grey self-design mid-rise trousers, button closure and four pockets", Grey,
10012919,Parx Men Beige Slim Fit Solid Regular Trousers,Parx,Men,919,"Beige solid mid-rise regular trousers, has a button closure, four pockets", Beige,
10015983,Tokyo Talkies Women Green Solid Top,Tokyo Talkies,Women,699,"Green solid regular top,has v-neck,bell sleeves", Green,
10014677,BuckleUp Women Tan Textured Belt,BuckleUp,Women,449,Tan textured beltReversible: NoStretchable: NoSecured with a tangWarranty: 1 monthWarranty provided by brand/manufacturer, Red,
10009715,SPYKAR Women Black Alexa Super Skinny Fit High-Rise Clean Look Stretchable Jeans,SPYKAR,Women,1999,"Black dark wash 5-pocket high-rise jeans, clean look, no fade, has a button and zip closure, and waistband with belt loops", Black,
10012733,MIAH Decor Set Of 2 Ceramic Bowls,MIAH Decor,Unisex,989,Set Of 2 Ceramic Bowls Pattern: PrintedFinish: GlossyMaterial: Ceramic,,
10012349,Lakme Absolute Matte Melt Liquid Lip Color - 21 Mauve Mix 6 ml,Lakme,Women,400,Lakme Absolute Matte Melt Liquid Lip ColorShade name:Â 21 Mauve Mix, Matte,
10017079,Campus Sutra Men Blue & White Ombre-Dyed Henley Neck T-shirt,Campus Sutra,Men,699,"Blue and white ombre-dyed T-shirt, has a Henley neck, and short sleeves",Blue,
10002675,Allen Solly Woman Women White Printed Top,Allen Solly Woman,Women,740,"White printed woven regular  top, has a round neck, and long sleeves", White,
10003177,Palm Tree Girls Pink Solid Bomber Jacket,Palm Tree,Girls,1499,"Pink solid bomber jacket, has a stand collar, 2 pockets, zip closure, long sleeves, straight hem, and polyester lining", Pink,
10013677,PARFAIT Plus Size Purple  Pink Lace Underwired Lightly Padded T-shirt Bra P5581,PARFAIT,Women,1189,Purple and pink lace medium-coverage T-shirt braLightly Padded and Underwired seamless cupsRegular straps and back closureBack style: RegularFeature: All Day Comfort, Red,
1001774,Arrow Taupe Tapered Fit Formal Trousers,Arrow,Men,1169,"A pair of taupe mid-rise formal trousers, has a zip fly with a button closure and a concealed hook-and-bar closure, an adjustableÂ autoflexÂ waistband with belt loops, four pockets, and adjustable hemsOur stylist has paired these trousers with a beltThis pair of trousers does not come with a belt ", Red,
10012959,JEWEL JUNCTION Silver-Toned Geometric Cufflinks,JEWEL JUNCTION,Men,539,A pair of silver-toned and black geometric printed cufflinksComes in a signature JEWEL JUNCTION case, Silver,
10005885,Difference of Opinion Men Mustard Yellow Solid Round Neck T-shirt with Printed Detailing,Difference of Opinion,Men,499,"Mustard yellow solid T-shirt, has a round neck, and long sleeves", Yellow,
10012497,AccessHer Women Gold-Plated & White Kundan-Studded Flower-Shaped Nosepin,AccessHer,Women,267," Oxidised gold-plated and white flower-shaped nosepin, has kundan-studded detail  Secured with a clip-on closure ", White,
10004169,HIGHLANDER Men Grey & Black Striped Round Neck T-shirt,HIGHLANDER,Men,699,"Grey and Black striped T-shirt, has round neck, short sleeves", Black,
10000775,Lady Lyka Women Pack of 2 Beginners Bras TEENAGER-RED-WHT,Lady Lyka,Women,425,Red and white solid medium-coverage beginners brasNon Padded and Non-Wired cut and sew cupsRegular straps and back closureBack style: RegularFeature: All Day Comfort, Red,
10017441,DKNY Unisex Silver Medium Trolley Bag,DKNY,Unisex,12375,"Silver textured medium trolley bag, secured with a TSA lockOne handle on the top and one on the side, has a trolley with a retractable handle on the top and four corner mounted inline skate wheelsOne main zip compartment, an inner mesh zip compartment, two compression straps with click clasps and one zip compartment on the flap with a zip pocketWarranty: 5 yearsWarranty provided by Brand Owner / Manufacturer", Silver,
10016679,Raymond Men Green Printed Polo Collar T-shirt,Raymond,Men,944,"Green printed T-shirt, has a polo collar, short sleeves", Green,
10012371,Lakme Absolute Matte Melt Liquid Lip Color - 23 Pink Poison 6 ml,Lakme,Women,400,Lakme Absolute Matte Melt Liquid Lip ColorShade name:Â 23 Pink Poison, Pink,
10012335,Lakme Absolute Mattreal Mousse Concealer - Caramel 04 9 g,Lakme,Women,480,Lakme Absolute Mattreal Mousse ConcealerShade name:Â CaramelÂ 04,,
10001931,DAVID BECKHAM Men Respect Eau De Toilette 90 ml,DAVID BECKHAM,Men,1740,"NotesTop notes: Grapefruit, Watermelon, Pink PepperHeart notes: Cardamom, Lavendin, BasilBase notes: Vetiver, Patchouli, Moss",,
10014817,AccessHer Gold-Toned & Yellow Classic Drop Earrings,AccessHer,Women,540,Gold-Toned and Yellow Classic Earrings and gold-plated Secured with a post and back, Yellow,
10002341,MANGO Women Black & Yellow Floral Print Layered Top,MANGO,Women,1596,"Black and yellow printed woven layered top, has a tie-up neck, sleeveless, and button closure", Red,
10004325,Park Avenue Women Maroon Self Design Top,Park Avenue,Women,569,"Maroon self-design regular top, has a round neck, long sleeves, lace insert detail", Maroon,
1000717,ahilya Maroon Gold-Plated Sterling Silver Hoop Earrings,ahilya,Women,5998,"A pair of maroon gold-plated sterling silver hoop earrings, has floral detail with multiple multifaceted stone embellishments, and a jhumki dangler with a clusterÂ of beadsSecured with a stylised insert closure", Maroon,
10014941,AccessHer Gold-Plated & Black Beaded Mangalsutra,AccessHer,Women,320,"Gold-plated and black beaded mangalsutra, handcrafted with vilandi Kundan, secured with an golden adustable chain", Black,
10000747,Lady Lyka Women Beige and White Pack of 2 Beginners Bras ATHLETE-SKN-WHT-Multi,Lady Lyka,Women,425,Pack of 2 Beige and white solid medium-coverage beginners braNon Padded and Non-Wired cut and sew cupsRegular straps and back closureBack style: RegularFeature: All Day Comfort, White,
